,code,powiat,year,sex,age,count
0,201000,Powiat bolesławiecki,2021,total,total,38792
1,202000,Powiat dzierżoniowski,2021,total,total,39657
2,203000,Powiat głogowski,2021,total,total,36209
3,204000,Powiat górowski,2021,total,total,13765
4,205000,Powiat jaworski,2021,total,total,20715
5,206000,Powiat karkonoski,2021,total,total,25660
6,207000,Powiat kamiennogórski,2021,total,total,17296
7,208000,Powiat kłodzki,2021,total,total,60022
8,209000,Powiat legnicki,2021,total,total,24235
9,210000,Powiat lubański,2021,total,total,21746
10,211000,Powiat lubiński,2021,total,total,44027
11,212000,Powiat lwówecki,2021,total,total,17575
12,213000,Powiat milicki,2021,total,total,16174
13,214000,Powiat oleśnicki,2021,total,total,50426
14,215000,Powiat oławski,2021,total,total,36495
15,216000,Powiat polkowicki,2021,total,total,26442
16,217000,Powiat strzeliński,2021,total,total,18984
17,218000,Powiat średzki,2021,total,total,28010
18,219000,Powiat świdnicki,2021,total,total,66834
19,220000,Powiat trzebnicki,2021,total,total,41088
20,221000,Powiat wałbrzyski,2021,total,total,21512
21,222000,Powiat wołowski,2021,total,total,20291
22,223000,Powiat wrocławski,2021,total,total,90479
23,224000,Powiat ząbkowicki,2021,total,total,25917
24,225000,Powiat zgorzelecki,2021,total,total,36330
25,226000,Powiat złotoryjski,2021,total,total,17456
26,261000,City with powiat status Jelenia Góra,2021,total,total,32309
27,262000,City with powiat status Legnica,2021,total,total,40849
28,264000,City with powiat status Wrocław,2021,total,total,345939
29,265000,City with powiat status Wałbrzych since 2013,2021,total,total,40714
30,401000,Powiat aleksandrowski,2021,total,total,22682
31,402000,Powiat brodnicki,2021,total,total,34865
32,403000,Powiat bydgoski,2021,total,total,57876
33,404000,Powiat chełmiński,2021,total,total,21150
34,405000,Powiat golubsko-dobrzyński,2021,total,total,19011
35,406000,Powiat grudziądzki,2021,total,total,17021
36,407000,Powiat inowrocławski,2021,total,total,65826
37,408000,Powiat lipnowski,2021,total,total,26100
38,409000,Powiat mogileński,2021,total,total,19474
39,410000,Powiat nakielski,2021,total,total,36422
40,411000,Powiat radziejowski,2021,total,total,16891
41,412000,Powiat rypiński,2021,total,total,18010
42,413000,Powiat sępoleński,2021,total,total,16990
43,414000,Powiat świecki,2021,total,total,41258
44,415000,Powiat toruński,2021,total,total,50211
45,416000,Powiat tucholski,2021,total,total,20437
46,417000,Powiat wąbrzeski,2021,total,total,13967
47,418000,Powiat włocławski,2021,total,total,36307
48,419000,Powiat żniński,2021,total,total,29591
49,461000,City with powiat status Bydgoszcz,2021,total,total,149713
50,462000,City with powiat status Grudziądz,2021,total,total,36261
51,463000,City with powiat status Toruń,2021,total,total,88317
52,464000,City with powiat status Włocławek,2021,total,total,42377
53,601000,Powiat bialski,2021,total,total,45518
54,602000,Powiat biłgorajski,2021,total,total,42571
55,603000,Powiat chełmski,2021,total,total,30052
56,604000,Powiat hrubieszowski,2021,total,total,23429
57,605000,Powiat janowski,2021,total,total,18673
58,606000,Powiat krasnostawski,2021,total,total,24432
59,607000,Powiat kraśnicki,2021,total,total,37756
60,608000,Powiat lubartowski,2021,total,total,37357
61,609000,Powiat lubelski,2021,total,total,75684
62,610000,Powiat łęczyński,2021,total,total,24652
63,611000,Powiat łukowski,2021,total,total,45834
64,612000,Powiat opolski,2021,total,total,24511
65,613000,Powiat parczewski,2021,total,total,13766
66,614000,Powiat puławski,2021,total,total,47043
67,615000,Powiat radzyński,2021,total,total,24846
68,616000,Powiat rycki,2021,total,total,23204
69,617000,Powiat świdnicki,2021,total,total,30367
70,618000,Powiat tomaszowski,2021,total,total,33316
71,619000,Powiat włodawski,2021,total,total,14098
72,620000,Powiat zamojski,2021,total,total,43793
73,661000,City with powiat status Biała Podlaska,2021,total,total,23800
74,662000,City with powiat status Chełm,2021,total,total,23318
75,663000,City with powiat status Lublin,2021,total,total,150753
76,664000,City with powiat status Zamość,2021,total,total,24273
77,801000,Powiat gorzowski,2021,total,total,33327
78,802000,Powiat krośnieński,2021,total,total,22638
79,803000,Powiat międzyrzecki,2021,total,total,24346
80,804000,Powiat nowosolski,2021,total,total,34533
81,805000,Powiat słubicki,2021,total,total,20595
82,806000,Powiat strzelecko-drezdenecki,2021,total,total,20463
83,807000,Powiat sulęciński,2021,total,total,14890
84,808000,Powiat świebodziński,2021,total,total,24261
85,809000,Powiat zielonogórski,2021,total,total,33651
86,810000,Powiat żagański,2021,total,total,30799
87,811000,Powiat żarski,2021,total,total,38559
88,812000,Powiat wschowski,2021,total,total,16170
89,861000,City with powiat status Gorzów Wielkopolski,2021,total,total,52126
90,862000,City with powiat status Zielona Góra,2021,total,total,64787
91,1001000,Powiat bełchatowski,2021,total,total,50266
92,1002000,Powiat kutnowski,2021,total,total,41491
93,1003000,Powiat łaski,2021,total,total,22985
94,1004000,Powiat łęczycki,2021,total,total,22348
95,1005000,Powiat łowicki,2021,total,total,35768
96,1006000,Powiat łódzki wschodni,2021,total,total,35304
97,1007000,Powiat opoczyński,2021,total,total,32594
98,1008000,Powiat pabianicki,2021,total,total,54916
99,1009000,Powiat pajęczański,2021,total,total,22730
100,1010000,Powiat piotrkowski,2021,total,total,41558
101,1011000,Powiat poddębicki,2021,total,total,18750
102,1012000,Powiat radomszczański,2021,total,total,47680
103,1013000,Powiat rawski,2021,total,total,22836
104,1014000,Powiat sieradzki,2021,total,total,53892
105,1015000,Powiat skierniewicki,2021,total,total,18283
106,1016000,Powiat tomaszowski,2021,total,total,49328
107,1017000,Powiat wieluński,2021,total,total,34353
108,1018000,Powiat wieruszowski,2021,total,total,20859
109,1019000,Powiat zduńskowolski,2021,total,total,28675
110,1020000,Powiat zgierski,2021,total,total,78076
111,1021000,Powiat brzeziński,2021,total,total,14333
112,1061000,City with powiat status Łódź,2021,total,total,308712
113,1062000,City with powiat status Piotrków Trybunalski,2021,total,total,29629
114,1063000,City with powiat status Skierniewice,2021,total,total,21479
115,1201000,Powiat bocheński,2021,total,total,50188
116,1202000,Powiat brzeski,2021,total,total,42636
117,1203000,Powiat chrzanowski,2021,total,total,51197
118,1204000,Powiat dąbrowski,2021,total,total,24395
119,1205000,Powiat gorlicki,2021,total,total,45629
120,1206000,Powiat krakowski,2021,total,total,145209
121,1207000,Powiat limanowski,2021,total,total,60226
122,1208000,Powiat miechowski,2021,total,total,21805
123,1209000,Powiat myślenicki,2021,total,total,62964
124,1210000,Powiat nowosądecki,2021,total,total,95932
125,1211000,Powiat nowotarski,2021,total,total,82713
126,1212000,Powiat olkuski,2021,total,total,48147
127,1213000,Powiat oświęcimski,2021,total,total,66163
128,1214000,Powiat proszowicki,2021,total,total,20557
129,1215000,Powiat suski,2021,total,total,38218
130,1216000,Powiat tarnowski,2021,total,total,89141
131,1217000,Powiat tatrzański,2021,total,total,28750
132,1218000,Powiat wadowicki,2021,total,total,73013
133,1219000,Powiat wielicki,2021,total,total,68536
134,1261000,City with powiat status Kraków,2021,total,total,407738
135,1262000,City with powiat status Nowy Sącz,2021,total,total,34599
136,1263000,City with powiat status Tarnów,2021,total,total,43474
137,1401000,Powiat białobrzeski,2021,total,total,15870
138,1402000,Powiat ciechanowski,2021,total,total,39878
139,1403000,Powiat garwoliński,2021,total,total,50491
140,1404000,Powiat gostyniński,2021,total,total,18592
141,1405000,Powiat grodziski,2021,total,total,49804
142,1406000,Powiat grójecki,2021,total,total,49208
143,1407000,Powiat kozienicki,2021,total,total,25539
144,1408000,Powiat legionowski,2021,total,total,62390
145,1409000,Powiat lipski,2021,total,total,13891
146,1410000,Powiat łosicki,2021,total,total,13388
147,1411000,Powiat makowski,2021,total,total,18562
148,1412000,Powiat miński,2021,total,total,76687
149,1413000,Powiat mławski,2021,total,total,31962
150,1414000,Powiat nowodworski,2021,total,total,39036
151,1415000,Powiat ostrołęcki,2021,total,total,39391
152,1416000,Powiat ostrowski,2021,total,total,31585
153,1417000,Powiat otwocki,2021,total,total,60681
154,1418000,Powiat piaseczyński,2021,total,total,104807
155,1419000,Powiat płocki,2021,total,total,50351
156,1420000,Powiat płoński,2021,total,total,39565
157,1421000,Powiat pruszkowski,2021,total,total,88119
158,1422000,Powiat przasnyski,2021,total,total,22046
159,1423000,Powiat przysuski,2021,total,total,16897
160,1424000,Powiat pułtuski,2021,total,total,23209
161,1425000,Powiat radomski,2021,total,total,64590
162,1426000,Powiat siedlecki,2021,total,total,37993
163,1427000,Powiat sierpecki,2021,total,total,21312
164,1428000,Powiat sochaczewski,2021,total,total,40650
165,1429000,Powiat sokołowski,2021,total,total,23923
166,1430000,Powiat szydłowiecki,2021,total,total,14925
167,1432000,Powiat warszawski zachodni,2021,total,total,65508
